episode,time,pet_at_bowl,bowl_weight,action_dispense,reward
0,1,2,10.63,"{1: 10.0, 2: 15.0}",0
0,2,1,0.35,{},0
0,3,2,10.21,"{1: 10.0, 2: 15.0}",0
0,4,1,0.32,{},0
0,5,1,15.67,"{1: 10.0, 2: 15.0}",0
0,6,1,5.66,{},0
0,7,1,0.15,{},0
0,8,1,14.99,"{1: 10.0, 2: 15.0}",0
0,9,1,4.53,{},0
0,10,1,0.09,{},0
0,11,1,15.08,"{1: 10.0, 2: 15.0}",0
0,12,1,4.57,{},0
0,13,1,0.15,{},0
0,14,1,15.31,"{1: 10.0, 2: 15.0}",0
0,15,1,5.28,{},0
0,16,1,-0.03,{},0
0,17,1,15.15,"{1: 10.0, 2: 15.0}",0
0,18,1,3.23,{},0
0,19,1,-0.1,{},0
0,20,1,14.55,"{1: 10.0, 2: 15.0}",0
0,21,1,5.06,{},0
0,22,1,-0.13,{},0
0,23,1,14.99,"{1: 10.0, 2: 15.0}",0
0,24,1,5.02,{},0
0,25,1,-0.05,{},0
0,26,1,14.76,"{1: 10.0, 2: 15.0}",0
0,27,1,4.86,{},0
0,28,1,-0.06,{},0
0,29,1,14.86,"{1: 10.0, 2: 15.0}",0
0,30,1,4.77,{},0
0,31,1,0.02,{},0
0,32,1,14.76,"{1: 10.0, 2: 15.0}",0
0,33,1,4.92,{},0
0,34,1,0.07,{},0
0,35,1,15.14,"{1: 10.0, 2: 15.0}",0
0,36,1,4.82,{},0
0,37,1,-0.09,{},0
0,38,1,14.85,"{1: 10.0, 2: 15.0}",0
0,39,1,4.78,{},0
0,40,1,0.05,{},0
0,41,1,14.84,"{1: 10.0, 2: 15.0}",0
0,42,1,5.19,{},0
0,43,1,-0.11,{},0
0,44,1,15.17,"{1: 10.0, 2: 15.0}",0
0,45,1,5.48,{},0
0,46,1,0.04,{},0
0,47,1,15.14,"{1: 10.0, 2: 15.0}",0
0,48,1,5.51,{},0
0,49,1,0.19,{},0
0,50,1,14.6,"{1: 10.0, 2: 15.0}",0
0,51,1,4.81,{},0
0,52,1,-0.04,{},0
0,53,1,15.04,"{1: 10.0, 2: 15.0}",0
0,54,1,5.33,{},0
0,55,1,-0.09,{},0
0,56,1,15.36,"{1: 10.0, 2: 15.0}",0
0,57,1,5.64,{},0
0,58,1,0.06,{},0
0,59,1,13.22,"{1: 10.0, 2: 15.0}",0
0,60,1,2.99,{},0
0,61,1,-0.07,{},0
0,62,1,14.93,"{1: 10.0, 2: 15.0}",0
0,63,1,3.41,{},0
0,64,1,-0.08,{},0
0,65,1,15.04,"{1: 10.0, 2: 15.0}",0
0,66,1,5.05,{},0
0,67,1,0.06,{},0
0,68,1,15.0,"{1: 10.0, 2: 15.0}",0
0,69,1,4.59,{},0
0,70,1,0.02,{},0
0,71,1,13.37,"{1: 10.0, 2: 15.0}",0
0,72,1,3.22,{},0
0,73,1,-0.13,{},0
0,74,1,14.9,"{1: 10.0, 2: 15.0}",0
0,75,1,5.18,{},0
0,76,1,-0.01,{},0
0,77,1,14.98,"{1: 10.0, 2: 15.0}",0
0,78,1,4.54,{},0
0,79,1,-0.05,{},0
0,80,1,15.48,"{1: 10.0, 2: 15.0}",0
0,81,1,5.28,{},0
0,82,1,-0.1,{},0
0,83,1,14.81,"{1: 10.0, 2: 15.0}",0
0,84,1,4.85,{},0
0,85,1,0.09,{},0
0,86,1,14.77,"{1: 10.0, 2: 15.0}",0
0,87,1,4.93,{},0
0,88,1,-0.05,{},0
0,89,1,14.97,"{1: 10.0, 2: 15.0}",0
0,90,1,4.66,{},0
0,91,1,0.06,{},0
0,92,1,14.57,"{1: 10.0, 2: 15.0}",0
0,93,1,4.62,{},0
0,94,1,-0.13,{},0
0,95,1,15.05,"{1: 10.0, 2: 15.0}",0
0,96,1,4.87,{},0
0,97,1,0.08,{},0
0,98,1,15.38,"{1: 10.0, 2: 15.0}",0
0,99,1,5.4,{},0
0,100,1,0.11,{},0
0,101,1,15.2,"{1: 10.0, 2: 15.0}",0
0,102,1,4.81,{},0
0,103,1,0.03,{},0
0,104,1,15.07,"{1: 10.0, 2: 15.0}",0
0,105,1,5.12,{},0
0,106,1,-0.09,{},0
0,107,1,14.92,"{1: 10.0, 2: 15.0}",0
0,108,1,5.22,{},0
0,109,1,-0.1,{},0
0,110,1,14.88,"{1: 10.0, 2: 15.0}",0
0,111,1,4.87,{},0
0,112,1,0.02,{},0
0,113,1,12.99,"{1: 10.0, 2: 15.0}",0
0,114,1,2.86,{},0
0,115,1,-0.05,{},0
0,116,1,14.97,"{1: 10.0, 2: 15.0}",0
0,117,1,5.39,{},0
0,118,1,0.04,{},0
0,119,1,15.07,"{1: 10.0, 2: 15.0}",0
0,120,1,5.04,{},0
0,121,1,-0.03,{},0
0,122,1,14.78,"{1: 10.0, 2: 15.0}",0
0,123,1,4.8,{},0
0,124,1,0.05,{},0
0,125,1,12.9,"{1: 10.0, 2: 15.0}",0
0,126,1,2.89,{},0
0,127,1,-0.07,{},0
0,128,1,12.57,"{1: 10.0, 2: 15.0}",0
0,129,1,2.73,{},0
0,130,1,-0.06,{},0
0,131,1,14.8,"{1: 10.0, 2: 15.0}",0
0,132,1,5.08,{},0
0,133,1,-0.03,{},0
0,134,1,15.06,"{1: 10.0, 2: 15.0}",0
0,135,1,4.66,{},0
0,136,1,-0.07,{},0
0,137,1,12.97,"{1: 10.0, 2: 15.0}",0
0,138,1,2.7,{},0
0,139,1,-0.01,{},0
0,140,1,15.13,"{1: 10.0, 2: 15.0}",0
0,141,1,5.54,{},0
0,142,1,-0.1,{},0
0,143,1,15.31,"{1: 10.0, 2: 15.0}",0
0,144,1,5.44,{},0
0,145,1,0.23,{},0
0,146,1,14.77,"{1: 10.0, 2: 15.0}",0
0,147,1,5.03,{},0
0,148,1,-0.04,{},0
0,149,1,14.94,"{1: 10.0, 2: 15.0}",0
0,150,1,5.39,{},0
0,151,1,0.07,{},0
0,152,1,14.77,"{1: 10.0, 2: 15.0}",0
0,153,1,4.71,{},0
0,154,1,-0.01,{},0
0,155,1,15.1,"{1: 10.0, 2: 15.0}",0
0,156,1,5.03,{},0
0,157,1,-0.0,{},0
0,158,1,14.94,"{1: 10.0, 2: 15.0}",0
0,159,1,4.85,{},0
0,160,1,0.03,{},0
0,161,1,14.71,"{1: 10.0, 2: 15.0}",0
0,162,1,4.74,{},0
0,163,1,-0.07,{},0
0,164,1,15.26,"{1: 10.0, 2: 15.0}",0
0,165,1,5.03,{},0
0,166,1,-0.27,{},0
0,167,1,12.95,"{1: 10.0, 2: 15.0}",0
0,168,1,3.14,{},0
0,169,1,0.11,{},0
0,170,1,14.84,"{1: 10.0, 2: 15.0}",0
0,171,1,4.62,{},0
0,172,1,-0.04,{},0
0,173,1,15.09,"{1: 10.0, 2: 15.0}",0
0,174,1,5.02,{},0
0,175,1,0.14,{},0
0,176,1,14.8,"{1: 10.0, 2: 15.0}",0
0,177,1,4.57,{},0
0,178,1,-0.05,{},0
0,179,1,15.19,"{1: 10.0, 2: 15.0}",0
0,180,1,5.22,{},0
0,181,1,-0.0,{},0
0,182,1,15.01,"{1: 10.0, 2: 15.0}",0
0,183,1,4.93,{},0
0,184,1,0.03,{},0
0,185,1,14.89,"{1: 10.0, 2: 15.0}",0
0,186,1,2.76,{},0
0,187,1,0.06,{},0
0,188,1,14.67,"{1: 10.0, 2: 15.0}",0
0,189,1,4.69,{},0
0,190,1,-0.23,{},0
0,191,1,14.8,"{1: 10.0, 2: 15.0}",0
0,192,1,4.37,{},0
0,193,1,0.16,{},0
0,194,1,15.09,"{1: 10.0, 2: 15.0}",0
0,195,1,4.95,{},0
0,196,1,-0.03,{},0
0,197,1,14.93,"{1: 10.0, 2: 15.0}",0
0,198,1,5.22,{},0
0,199,1,-0.06,{},0
0,200,1,14.85,"{1: 10.0, 2: 15.0}",0
0,201,1,4.67,{},0
0,202,1,0.08,{},0
0,203,1,14.99,"{1: 10.0, 2: 15.0}",0
0,204,1,4.71,{},0
0,205,1,-0.03,{},0
0,206,1,15.13,"{1: 10.0, 2: 15.0}",0
0,207,1,5.13,{},0
0,208,1,0.15,{},0
0,209,1,15.44,"{1: 10.0, 2: 15.0}",0
0,210,1,5.25,{},0
0,211,1,-0.01,{},0
